State,City,PD,ORI,Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),Native American People Killed by Police (1/1/2013-12/31/2020),Asian People Killed by Police (1/1/2013-12/31/2020),Pacific Islanders Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Unknown Race People Killed by Police (1/1/2013-12/31/2020),All People Killed by Police (1/1/2013-12/31/2020),Allegedly Armed People Killed by Police (1/1/2013-12/31/2019),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2019),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2019),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2019),Total Population (Census ACS 5 Year 2018),Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Violent crimes 2019 (if reported by agency),Average Violent Crimes Reported 2013-19,Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,2019 Total Arrests,Estimated Average Arrests per Year 2013-2019,Killings by Police per 10k Arrests
Texas,Plano,Plano Police Department,TX0430600,,1,,,,1,1,3,3,,,,"284,579","23,415","151,098",893,"57,825",268,58093,705,"7,065","43,310",26.40,1.3,0.0,0.8,2.9,0.00,3.49,389,459,433,399,435,402,431,421.1,1.5,8818,3422,9243,8871,9324,7657,7869,7731,3.9
Oregon,Portland,Portland Police Bureau,OR0260200,4,1,,,,13,,18,16,2,,,"639,387","35,895","450,711","3,791","50,993","4,290",55283,"2,312","29,300","62,095",38.64,3.5,13.9,3.6,2.0,3.86,0.56,2941,2911,680,3163,3349,3418,3613,2867.9,4.5,,20160,4608,20310,19098,20471,20301,17491,10.3
North Carolina,Raleigh,Raleigh Police Department,NC0920100,4,1,,,,1,,6,3,2,1,,"457,159","129,058","243,865","1,400","20,442",304,20746,1406,"10,554","50,130",50.26,1.6,3.9,0.5,2.5,7.56,4.86,1683,,,,,,1222,1452.5,3.2,27458,,,,,,,,
Nevada,Reno,Reno Police Department,NV0160100,3,6,,,,5,2,16,9,1,3,3,"242,633","6,141","148,350","2,129","15,415","1,846",17261,625,"8,300","59,827",32.08,8.2,61.1,4.2,12.5,14.49,2.98,1154,1147,1419,1717,1674,1636,1419,1452.3,6.0,12196,12323,11869,12044,12837,14422,11567,12510,12.8
California,Riverside,Riverside Police Department,CA0331300,3,5,,,,,,8,6,,1,1,"323,935","18,594","98,193","1,069","23,279",704,23983,1000,"8,434","172,662",25.41,3.1,20.2,0.0,3.6,No White People were Killed by Police,No White People were Killed by Police,1330,1384,1441,1724,1669,1686,1686,1560.0,4.8,8117,11796,8500,9122,7573,7443,7755,8698,9.2
New York,Rochester,Rochester Police Department,NY0270100,2,,,1,,1,,4,2,2,,,"207,778","79,344","76,054",518,"6,637",12,6649,548,"6,610","38,055",51.59,2.4,3.2,1.6,0.0,1.92,0.00,2107,1765,1839,1845,1872,1615,1540,1797.6,8.7,12345,8975,8631,7988,8425,7767,6552,8056,5.0
California,Sacramento,Sacramento Police Department,CA0340400,7,3,,,,6,1,17,11,5,1,,"495,011","64,582","160,691","1,672","92,077","8,358",100435,"2,444","23,359","141,828",40.57,4.3,13.5,4.7,2.6,2.90,0.57,3137,2968,3611,3549,3378,3329,3223,3313.6,6.7,18467,19824,18132,16282,13810,14054,13438,15923,10.7
Texas,San Antonio,San Antonio Police Department,TXSPD0000,10,31,,1,,11,3,56,45,8,2,1,"1,486,521","95,687","368,288","2,139","40,852","1,084",41936,"1,992","21,801","954,678",43.08,4.7,13.1,3.7,4.1,3.50,1.09,8828,7704,8594,10754,10759,9647,11049,9619.3,6.5,58324,57490,50882,42077,52254,61234,39603,50590,11.1
California,San Bernardino,San Bernardino Police Department,CA0361000,2,9,,1,,3,1,16,12,1,2,1,"215,182","27,645","32,987",565,"8,562",608,9170,271,"5,154","139,390",33.10,9.3,9.0,11.4,8.1,0.80,0.71,1949,2128,2697,2878,2805,2906,2859,2603.1,12.1,6996,7993,6337,6714,8120,9195,7193,7592,21.1
California,San Diego,San Diego Police Department,CA0371100,3,12,,5,1,13,1,35,21,8,3,3,"1,401,932","86,490","601,232","3,190","230,555","5,296",235851,"3,137","50,396","421,636",54.57,3.1,4.3,2.7,3.6,1.60,1.32,5303,5214,5582,5332,5221,5360,5215,5318.1,3.8,41444,40118,36628,35761,35725,33674,34466,36062,9.7
California,San Francisco,San Francisco Police Department,CA0380100,5,8,,1,,5,,19,15,3,,1,"870,044","43,619","353,670","1,363","294,846","2,694",297540,"4,163","37,038","132,651",52.76,2.7,14.3,1.8,7.5,8.11,4.27,7064,6761,6710,6190,6301,6144,5933,6443.3,7.4,17453,14702,16604,15271,13950,13891,14337,14793,12.8
California,San Jose,San Jose Police Department,CA0431300,1,11,,1,1,7,2,23,14,4,1,4,"1,026,658","29,208","267,218","1,733","360,641","4,644",365285,"2,887","32,170","328,157",36.76,2.8,4.3,3.3,4.2,1.31,1.28,3215,3242,3400,3887,4188,4444,4561,3848.1,3.7,17994,17729,16233,13034,13977,15392,14861,15204,15.1
California,Santa Ana,Santa Ana Police Department,CA0301900,2,13,,2,,1,,18,7,3,6,2,"333,499","3,115","31,293",500,"38,909",678,39587,439,"2,431","256,134",24.48,6.7,80.3,4.0,6.3,20.09,1.59,1121,1260,1626,1612,1640,1571,1453,1469.0,4.4,8715,8641,8101,7349,7397,6609,5644,7290,24.7
Arizona,Scottsdale,Scottsdale Police Department,AZ0072500,1,1,,,,5,3,10,8,1,,1,"246,026","4,271","197,638","1,731","11,851",237,12088,300,"4,523","25,475",23.46,5.1,29.3,3.2,4.9,9.25,1.55,337,,434,369,396,422,416,395.7,1.6,10468,9673,8989,9066,9619,9296,8982,9271,10.8
Washington,Seattle,Seattle Police Department,WASPD0000,6,2,1,2,1,10,3,25,20,3,2,,"708,823","48,553","457,374","3,661","105,887","2,000",107887,"1,969","42,731","46,648",51.68,4.4,15.4,2.7,5.4,5.65,1.96,3758,4001,4093,4294,4564,5052,4471,4319.0,6.1,15074,13197,14214,14562,14533,15180,10557,13707,18.2
Washington,Spokane,Spokane Police Department,WA0320400,1,,2,,,12,2,17,14,,,3,"214,804","4,474","174,789","3,258","5,536","1,694",7230,179,"10,972","13,902",21.73,9.9,27.9,8.6,0.0,3.26,0.00,1440,1156,1111,,1360,1742,1521,1388.3,6.5,10654,9255,11897,,4948,5872,6492,7693,22.1
Missouri,St. Louis,St. Louis Metropolitan Police Department,MOSPD0000,37,1,,,,3,1,42,34,3,4,1,"311,273","145,696","134,617",616,"10,002",154,10156,1366,"6,459","12,363",65.28,16.9,31.7,2.8,10.1,11.40,3.63,5077,5348,5762,6017,6461,5525,5796,5712.3,18.4,23094,19261,20493,20163,18729,16993,17388,18838,22.3
Minnesota,St. Paul,St. Paul Police Department,MN0620900,5,1,2,2,,3,,13,10,,2,1,"302,760","47,605","155,476","2,196","55,578",63,55641,604,"12,315","28,923",43.44,5.4,13.1,2.4,4.3,5.44,1.79,2200,1974,2115,1970,1996,1941,1754,1992.9,6.6,11758,9820,9659,8901,9557,8632,8339,9151,14.2
Florida,St. Petersburg,St. Petersburg Police Department,FL0521400,3,,,,,9,,12,10,2,,,"259,041","57,838","162,142",521,"9,516",150,9666,1409,"7,059","20,406",65.70,5.8,6.5,6.9,0.0,0.93,0.00,2379,2169,1898,1727,1842,1660,1600,1896.4,7.3,13997,13654,13491,10907,10149,9753,11366,11553,10.4
California,Stockton,Stockton Police Department,CA0390500,5,5,,2,1,4,2,19,10,4,3,2,"306,283","35,066","63,847",526,"64,487","2,249",66736,531,"10,781","128,796",37.25,7.8,17.8,7.8,4.9,2.28,0.62,3622,3988,4122,4381,4379,4383,4380,4179.3,13.6,8008,7681,6261,6154,7435,7327,7078,6989,27.2
Florida,Tampa,Tampa Police Department,FL0290200,6,,,2,,3,,11,10,1,,,"376,345","85,453","168,016",836,"15,626",173,15799,963,"8,596","96,682",58.69,3.7,8.8,2.2,0.0,3.93,0.00,2097,2080,2298,1906,1785,1598,1625,1912.7,5.1,41318,38102,30983,25676,22660,20310,18580,26052,4.2
Ohio,Toledo,Toledo Police Department,OH0480700,4,,,,,4,,8,7,,,1,"278,193","74,087","164,448",600,"3,824",55,3879,686,"10,594","23,899",53.45,3.6,6.7,3.0,0.0,2.22,0.00,2902,3068,3156,3319,,2333,2604,2897.0,10.4,,,,,6826,7780,6796,7134,11.2
Arizona,Tucson,Tucson Police Department,AZ0100300,2,15,,,,10,6,33,28,4,1,,"539,216","25,307","239,847","9,818","16,723",872,17595,676,"12,764","233,209",25.65,7.6,9.9,5.2,8.0,1.90,1.54,3368,,3472,4245,4268,3958,3776,3847.8,7.1,31892,32313,33432,33442,30569,28858,36233,32475,10.2
Oklahoma,Tulsa,Tulsa Police Department,OK0720500,7,4,,1,,18,1,31,22,6,1,2,"402,223","60,509","218,035","15,922","13,173",447,13620,1161,"27,235","65,741",49.79,9.6,14.5,10.3,7.6,1.40,0.74,3827,3217,3628,4444,4214,4294,3965,3941.3,9.8,16360,14739,15775,14311,12666,13303,14589,14231,21.8
Virginia,Virginia Beach,Virginia Beach Police Department,VA1280000,4,,,,,2,2,8,7,1,,,"450,135","83,234","279,288",908,"29,330",284,29614,784,"20,264","36,043",36.36,2.2,6.0,0.9,0.0,6.71,0.00,730,660,626,700,625,528,581,635.7,1.4,24319,23199,20188,19139,18603,17133,17082,19224,4.2
Kansas,Wichita,Wichita Police Department,KS0870300,1,3,,,,11,,15,11,2,,2,"389,563","41,863","245,327","2,392","19,330",144,19474,411,"13,717","66,379",49.27,4.8,3.0,5.6,5.6,0.53,1.01,3065,,3839,4136,3998,4622,4452,4018.7,10.3,10566,9322,9307,9120,8322,3937,9507,8253,18.2
North Carolina,Winston-Salem,Winston-Salem Police Department,NC0340200,3,,,,,,,3,2,1,,,"242,125","82,937","111,302",360,"5,845",134,5979,1037,"5,135","35,375",50.44,1.5,4.5,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,1426,1696,,,,,,1561.0,6.4,19744,18875,16792,15432,,12786,,15971,1.9
United States,Big Cities Average,Big Cities Average,,850,554,21,51,19,586,134,2215,,,,,"65,227,462","13,050,325","25,357,598","271,980","5,868,718","133,314",6002032,"225,138","1,711,096","18,609,293",,4.2,8.1,2.9,3.7,2.82,1.29,445359,441400,459609,490035,483253,480067,465880,466514.7,7.2,2440564,2285601,2144017,2007193,1908113,1880088,1562378,20840,
United States,Nationwide Average,Nationwide Average,,2190,1509,121,132,49,3803,952,8756,,,,,318900000,42094800,196817552,,,,,,,50478000,,3.4,6.5,2.4,3.7,2.69,1.55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data from 1/1/13 - 12/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
