County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Adams,"About 8:45 p.m., police were called on a report of several people fighting in the road, police said. The first officer contacted several men on the side of the road. Two men advanced and refused to obey the officer's commands. Birendra Thakuri was shot and killed.",No,Unarmed/Did Not Have an Actual Weapon,attack,,,Suburban
Mecklenburg,"A fight broke out involving Donald Janvier inside a bar around 2 a.m. before spilling outside. Janvier got into his car, drove toward and struck an Immigration and Customs Enforcement agent, who shot and killed him.",No,Vehicle,attack,Not fleeing,,Suburban
Hamilton,"Cincinnati police were attempting to serve a felony warrant to a resident of the Talbert House facility. James Clay pulled what appeared to be a firearm from his waistband and charged at the officers. Clay was killed, Ronald Schultz was shot by his fellow officers. The weapon was a pellet gun.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Kern,"Police said a man was headed northbound on the 99 and went through a fence off of the highway and crashed his pickup truck. Police were headed to the accident when they saw a man in the roadway. An officer tried to make contact with the man, but he allegedly walked toward the officer with a knife, and he was shot and killed.",No,Allegedly Armed,other,,No,Suburban
Spartanburg,Deputies were investigating a rape report when they encountered a man in a wooded area. Police said the man pointed a crossbow at the deputies. The suspect did not comply with orders to put the crossbow down and was shot and killed.,Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Tulsa,Police shocked and killed Joshua Harvey after he broke a glass door and entered a bank.,Unknown,Unarmed/Did Not Have an Actual Weapon,,,,Urban
Jefferson,Adam Easte was shot and killed by police during a vehicle chase. The car crashed into a home when Easte was shot.,No,Vehicle,attack,Car,,Rural
Franklin,"Police said Officer Andrew Mitchell was investigating prostitution complaints when he took Donna Castleberry into custody. Police alleged Castleberry stabbed Mitchell in the hand with a knife during a fight inside the vehicle, and Mitchell shot and killed her.",No,Allegedly Armed,attack,Not fleeing,No,Urban
King,Police were serving a warrant regarding narcotics. Police said officers were confronted by a man in a bedroom. He was armed with a handgun and refused to drop it. He allegedly moved the gun toward the officers and was shot and killed by three deputies.,No,Allegedly Armed,attack,Not fleeing,,Suburban
Erie,Matthew D. Orrenmaa was killed by Pennsylvania troopers. Details as to what precipitated the killing were withheld by police.,No,Unclear,,,,Suburban
Orange,"About 3:15 p.m., officers were looking for a gray-green Volkswagen Passat that was connected to an earlier homicide. They found it at the Santa Ana Express Car Wash with two people inside. Officers shot and killed one, and arrested the other, although what precipitated the killing or the reason for arresting the second person were withheld by police.",No,Unclear,,,,Urban
Valencia,Deputies encountered two people after being dispatched to a residence because of a reported burglary in progress. Police said a woman was fatally shot by a deputy who also shot a man who was subsequently arrested.,No,Vehicle,other,Not fleeing,No,Rural
Strafford,"Douglas Heath was being sought on a variety of charges, including narcotics and fleeing from police. Police found Heath's car about 3 p.m., and they pursued the vehicle. Police said Heath's car crashed about 3:15 p.m. and as Heath exited the vehicle from the passenger's side, an exchange of gunfire occurred. Heath was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Orange,"Around 4:40 p.m. after receiving a report that a man was ""acting erratically"" and entering and exiting businesses in the area, deputies tried to contact and later arrest Maldonado on suspicion of multiple violations, including impeding traffic and refusing to comply with their commands. Police said he resisted, and the deputies shocked and killed him.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,,Suburban
Philadelphia,"Officers went to serve a search warrant around 4:10 p.m. after tracking a man for a day. The man who was wanted on the warrant was in a black Toyota Camry and tried to flee the scene after being boxed in by police, police said. The man allegedly drove into at least one of the plainclothes officers, injuring his right knee and hip. Another officer fired three shots at Jeffrey Dennis, killing him.",No,Vehicle,attack,Car,No,Urban
Fulton,"About 4:37 a.m., officers responded to a 9-1-1 call in which a person said a family member had pointed a gun at them. Officers found Jeremiah Perdue and tried to stop him. At some point, Perdue was observed with a firearm, and officers shot and killed him.",No,Allegedly Armed,other,,No,Urban
Spokane,"Police responded to reports of a man driving erratically, pulling into a gas station and breaking his vehicle windows. When deputies approached him, he pulled out a handgun and put it to his head. Eventually, an officer perceived a threat and shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Cascade,"Details are few, but Charles Marcotte was killed inside a garage when he allegedly failed to put down a gun.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Kern,"A neighbor called because of a domestic violence situation. When officers arrived, they found Christopher Okamoto in the doorway armed with a gun. Officer Alejandro Patino shot and killed him.",No,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,No,Suburban
Stanislaus,"Officers were responding to a hit-and-run. A witness to the crash followed the Lexus and gave updates to dispatchers on its location. When an officer found the vehicle, he attempted to pull over the driver, who led him on a high-speed pursuit. When the Lexus stopped, Mendez, armed with a handgun, got out. Ceres Officer Ross Bays shot and killed Mendez.",No,Allegedly Armed,other,Other,No,Rural
Maricopa,"Police were searching for Andres Arteaga regarding a felony warrant. Arteaga fled when they caught up with him and allegedly tried to break into a home. An officer reportedly tried tasering him, but Arteaga reportedly drew a handgun, and the officer shot and killed him.",No,Allegedly Armed,other,Foot,No,Suburban
Los Angeles,"Police said Michael Harrison and his 27-year-old sister were staying temporarily at an Airbnb while visiting. Harrison allegedly attacked his sister with what detectives described as a meat cleaver. She was stabbed and cut multiple times. She ran down the street and screamed for help from a nearby resident, who rushed her into his home. Other residents and neighbors called 9-1-1. Police rushed to the scene, confronted the suspect who was armed with a knife and shot and killed him.",No,Allegedly Armed,other,Not fleeing,No,Urban
Dallas,"Nearly a dozen squad cars were dispatched about 5:30 a.m. after reports of two men with guns. A plainclothes officer was shot in the leg when he confronted the pair, and they exchanged gunfire, police said. Hector Flores was killed. The other fled but was caught and arrested.",No,Allegedly Armed,attack,Not fleeing,,Suburban
Travis,Officers were on alert about fights outside a rap show when shots were fired in a parking lot at the back of the club around 1 a.m. Police said at least two people with guns fired multiple times. Officers approached an alley when they heard gunshots and said Aquantis Givens ran toward them with a gun in his hand. Eight officers shot and killed him. One officer fired a Taser.,No,Allegedly Armed,attack,,No,Urban
Matanuska Susitna,"Adrian Herron stabbed his wife while their children, who were unharmed, were inside the home. She reportedly had called 9-1-1, saying he was threatening to kill everyone in the house. Police forced their way into the home, and Herron allegedly threatened them with knives, and he was shot and killed. Three officers shot Herron: Sergeant Don Ridge, Officer Adam LaPointe and Officer Sawyer Skiba.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Midland,"Police said officers found Oscar Gurrola outside of city limits around 11 a.m. Officers approached Gurrola and tried to arrest him. Gurrola allegedly raised a gun, and police shot and killed him.",No,Allegedly Armed,attack,Not fleeing,,Rural
San Diego,"Deputies responded to a 9-1-1 call about 4:35 a.m. about a man who was behaving oddly and refused to leave the Circle K/Mobil gas station. When deputies arrived, Rosales fought them off. It took at least eight deputies to restrain Rosales, police said. During the struggle, deputies shocked and killed Rosales.",Unknown,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,,Suburban
Baker,"Charlie ""Lee"" Hodges allegedly shot and wounded Walter Thompson, 68, shortly before 5:30 p.m., police said. Deputies found Hodges barricaded inside his home. But several hours of negotiation ended with Hodges shooting at deputies and being shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Union,"Police received a 9-1-1 call around 11:55 p.m. reporting a man with a gun sitting on a bench in McKinley Park. Police said they asked Christopher J. Cameron to drop his weapon, but the man allegedly refused and charged at the officers. Sergeant Jared Auten shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Rural
Fresno,"Around 11:30 a.m., a 9-1-1 call reported a man yelling, agitated and perhaps on drugs in the area. Another call came in saying a second person was fighting with the first. After about 15 to 20 minutes, the man set down his backpack and pulled a knife. Officers reportedly began to back away and continued to try to calm the man. The man allegedly reached back into the backpack and pulled out a handgun. He raised the gun toward the officers, and they shot and killed him with some less-lethal rounds and some less-less lethal rounds.",Yes,Allegedly Armed,attack,Not fleeing,Yes,Urban
Cook,"Officers responded to a call of a person shot and found Mark Harvey, 32, with a gunshot wound to his head about 2 p.m. Harvey, who was seriously wounded, was able to talk and provided a description of a suspect, police said.A man matching the provided description was found a short distance away. The man, Mark Harvey, refused to obey police commands and pulled out a handgun and fired as he ran. Three officers with the Park Forest Police Department and a Richton Park officer shot and killed him.",No,Allegedly Armed,attack,Foot,No,Suburban
Oklahoma,"Police received a call about Chris Stone bothering customers at 7-Eleven, allegedly telling them the store was going to be ""shot up."" When officers approached him, he allegedly pulled a gun on them and tried to run away. Eventually, he turned around, and he was shot and killed.",Unknown,Allegedly Armed,attack,Foot,No,Urban
Milwaukee,"Officers were reportedly following up on a suspect who fled from them earlier in the day. Officers conducted a traffic stop, and the man allegedly got out of the vehicle with a gun. Two officers shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
San Mateo,Ramsey Saad was accused of pushing his mother to the ground and threatening to kill her when he was shocked and killed by Redwood City police.,Yes,Unarmed/Did Not Have an Actual Weapon,attack,,,Suburban
Rusk,"A caller told dispatchers a man at the home was intoxicated and was afraid he could become violent. Deputies responded to the home, and one deputy shot and killed the man during an alleged altercation. Details were withheld.",Drug or alcohol use,Allegedly Armed,undetermined,Not fleeing,No,Rural
Amherst,Anthony Makai Hutchinson was wanted for questioning regarding a murder. He allegedly opened fire on officers and was shot and killed.,No,Allegedly Armed,attack,Car,No,Rural
Smith,"Police received a call for a welfare check on a person. Officers arrived around 1:06 p.m., but they were unable to get someone to answer the door. Around 1:30 p.m. they were able to make contact with a person through the window. The person was asked to open the front door and did not. About five minutes later ,the occupants daughter arrived with a key to the home, and deputies entered. As deputies were clearing the house when the woman who lives in the home confronted the deputies with a pistol. One shot was fired by a deputy and killed the woman who was allegedly armed.",Yes,Allegedly Armed,attack,Not fleeing,,Suburban
Los Angeles,"Deputies shot and killed Anthony Vargas after confronting him in connection with an armed robbery near the Nueva Maravilla Housing Community. Police said Vargas ""attempted to arm himself"" with a handgun when deputies killed him.",No,Unclear,attack,Foot,No,Urban
Summit,"A 49-year-old man, who police said fatally shot his wife Saturday morning, was killed when police caught up to him, after a string of alleged crimes, and he refused to drop his gun.",Yes,Allegedly Armed,attack,Foot,No,Urban
Livingston,A Livingston Parish sheriff's deputy shot and killed a man after responding to a domestic disturbance call. Deputies encountered an armed man at a home about 1 a.m. and fatally shot Jackey Sampson.,No,Allegedly Armed,attack,,No,Suburban
Franklin,"Police were serving a felony warrant on a kidnapping charge to Montae D. Shackleford at a hotel. Although most details were withheld by police, there may have been an exchange of gunfire when Shackleford was killed.",No,Allegedly Armed,attack,Foot,No,Urban
Clark,"Police received multiple reports of a man pinning a woman to the ground and stabbing her around 9 p.m. at an apartment complex, police said. A sergeant responded to the call and found the man, identified 30-year-old William Fuller, attacking the woman outside the complex. The officer reportedly ordered Fuller to get off the woman and drop the knife, but he stood up and charged the officer while holding the knife, police said. The sergeant fired two shots, killing Fuller.",Yes,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Prince George's,Police were investigating a report of a man who was selling drugs who often carried a gun when they approached Campfield. Police said Campfield ignored commands to show his hands and fled. An officer tackled Campfield and warned fellow officers that he had a gun. Police said the struggling officer shot and killed Campfield.,No,Allegedly Armed,other,Foot,No,Suburban
Philadelphia,"Charles Meadows was riding his bicycle the wrong way in traffic when two officers attempted to stop and interrogate him. Meadows allegedly ditched his bicycle and fled on foot. Police said Meadows fell to the ground and dropped a .40 caliber pistol, and the officer ordered him not to touch the firearm. Police say Meadows then grabbed the weapon and fired at the two officers, who shot and killed him.",No,Allegedly Armed,attack,Foot,No,Urban
Durham,Shaun Christy allegedly pulled a gun on officers who may have been investigating him for an assault on his wife.,Yes,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Broward,"Leu Freycinet called a news station to request a reporter be sent to his home for a story. Freycinet gave his address and said something would happen in the next 15 minutes, but he would not specify what. The station called police. Freycinet then said someone threatened to kill the president. Officers were trying to contact Freycinet when they heard multiple gunshots coming from the home. Police said they saw Freycinet burning a paper bag and setting his house on fire. Police said Freycinet then walked out of his home with a firearm and confronted officers,who shot and killed him.",Unknown,Allegedly Armed,attack,Not fleeing,,Suburban
Douglas,"Multiple officers shot and killed Stephen L. Caldwell, who had been holding a woman hostage and had refused officers' commands to put down a knife—after already stabbing two other women.",No,Allegedly Armed,attack,Not fleeing,No,Urban
San Diego,Vaughn Harrison Denham allegedly attacked someone with a machete and attacked a responding officer with a chain before he was shot and killed.,No,Unclear,attack,Not fleeing,No,Urban
Smith,"A hospital security guard called police around 4:30 a.m. to report a suspicious vehicle at Smith County Hospital. Two Carthage Police Department officers responded and approached the vehicle. The driver, Joseph Robbins, allegedly tried to hit one of the officers with his vehicle. One of the officers shot and killed Robbins.",No,Vehicle,attack,Not fleeing,No,Rural
Monroe,"Monroe County's probation office requested that deputies serve a probation violation warrant for violation of home detention on an adult woman. Deputies also were aware that an adult male with ""high-level"" felony warrants was likely at the residence. When a marked car came to the front door of the residence, deputies also approached the back door. The male that was wanted came out the back door, pointed a handgun at deputies and said, ""Fuck this."" Deputies shot and killed Daniel Boyer.",No,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Los Angeles,"About 11:30 a.m. LAPD Gang and Narcotics Division officers and an FBI task force were searching for the suspect at a motel. The man, a gang member who had an outstanding warrant, was armed with a firearm when authorities found him in the motel's parking lot, police said. In a gunfight, the FBI agent was wounded and the man was killed. He was suspected of killing one relative and wounding another at a family party the month prior.",No,Allegedly Armed,other,,No,Urban
Maricopa,"Pedro ""Peter"" Lucero was killed by police on the Salt River Pima-Maricopa Indian Community. Lucero was sought in the killing of 24-year-old Francine Delgado and the wounding of 28-year-old Rebecca Jacquez in Farmington.",No,Unclear,undetermined,Other,No,Rural
Caddo,"Police attempted to stop Michael Ducote, who was reportedly driving a stolen car. He refused to stop and led police on a brief chase that ended when he crashed. As officers exited their cruisers, Ducote allegedly put the vehicle in reverse, crashing into one of the marked patrol units, and officers shot and killed the driver.",No,Vehicle,other,Car,No,Urban
Clay,"Officers were called shortly after 10 p.m. to a home. They encountered Wilson, who was armed with a handgun and reportedly threatened to harm himself. Wilson's parents were at the home and were reported to be in danger. According to police, Wilson threatened officers with a handgun. An officer shot and killed him.",Unknown,Allegedly Armed,attack,Not fleeing,,Urban
Philadelphia,"Philadelphia police shot and killed a Ricardo Giddings and wounded his wife when a SWAT team showed up at 6 a.m. looking to arrest his grandson and the man mistook them for intruders and opened fire, hitting one officer in the face. Police said the man—whom he did not identify but whom property and other public records identify as Ricardo Giddings apparently began shooting in an attempt to protect his home. His wife, 67, was struck by a police round as she tried to run out of the house.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Clark,Officers were conducting a welfare check on a tenant after a property manager became concerned the man in the apartment was dead. The manager said it appeared the door had been barricaded and water was running for a while causing damage to the unit below. The manager said they never had an issue with the tenant before. The man wounded an officer with a knife and was shot and killed.,Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Okeechobee,"Deputies responded to a domestic violence situation where a man armed himself and fled. A low-speed chase ensued to another location, where the armed man held a gun to his own head. The man approached deputies while still armed, and deputies reportedly fired less-lethal rounds at him, attempting to disable him. Deputies then shot and killed him.",Unknown,Allegedly Armed,other,Not fleeing,,Rural
Fulton,Deputies were at a rail yard to serve a warrant on Levester Taylor for felony child molestation. Three deputies opened fire after Taylor allegedly began attacking a deputy with a metal pipe wrench.,No,Unclear,attack,Not fleeing,No,Suburban
Ramsey,"Around 2:30 a.m., officers were dispatched to a multi-unit residence. A 9-1-1 caller reported that someone fired multiple shots on the second floor. The 9-1-1 caller then hung up without providing more information. When officers arrived, they encountered a man with a gun and shot and killed Billy Hughes.",No,Allegedly Armed,other,Not fleeing,Yes,Urban
San Bernardino,"About 11:45 a.m., deputies responded to a mobile home park over a call about a man with a gun. A man had allegedly pointed a gun at a neighbor for an unknown reason. Police said the man was cooperative at first but then refused to come out of the home. At about 7:45 p.m., the sheriff's office reported police-involved death occurred involving the barricaded suspect, adding that it was unknown if he was shot by deputies or if the injuries were self-inflicted.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Crawford,Johnny Fisher was shot and killed during a domestic dispute with his estranged wife. He reportedly shot an officer before being killed by another.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Clay,"Eric Benjamen Richards was suicidal and had called police dispatch and made comments about a mass shooting. When officers responded, he allegedly pointed a rifle at them and shot. They shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Palm Beach,"Police said that at around 6:30 a.m., police responded to a call of a man in his 30s with a gun who had threatened his mother. Police were communicating with him for some time. Around 7:50 a.m. he ran out of the house brandishing a handgun, and at least one police officer shot and killed him. Officers Christine Suarez and Tremayne Barnes were put on paid administrative leave.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Clark,"A woman reported a rape and kidnapping to the police. The victim told police where the suspect, Boyd, was and they found him in an apartment. Boyd was ordered out of the apartment but refused, leading to a 16-hour standoff. Officers James Ferrante, 35, and William Marx, 48, fatally shot Boyd at about 1:15 p.m.",No,Unclear,,,,Urban
Volusia,Emmanuel Alquisiras was shot and killed while fighting with a deputy who had responded to a domestic disturbance. Alquisiras allegedly took the deputy's stun gun and was shot and killed.,Yes,Allegedly Armed,other,Not fleeing,Yes,Rural
Spokane,"Deputies responded to a call about a man who had crashed his car into a ditch. When deputy went to check on him, he allegedly pulled a firearm and made a motion toward the deputy with it. The deputy shot and killed Josh Martin.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Jefferson,Danny Lee was shot and killed after he raised a gun at officers while they tried to arrest him. Few details were immediately released.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Wapello,"Police said Michael Paul Bibby, Dalton Wayne Cook and David Roy White forced their way into a residence and stole items from a resident. During the robbery, police said one person at the home was shot and wounded. Police said Bibby, Cook and White fled and were found near Liberty Elementary School, where a shootout with police took place. White died in the shootout. Bibby was injured.",No,Allegedly Armed,attack,Not fleeing,,Suburban
Poinsett,"At around 10 a.m. Trumann Police Chief Chad Henson was contacted by Johnny Kelley, who asked Henson to come inside his house. Once inside, Kelley shot at Henson, police said. Henson shot and killed Kelley.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Dona Ana,"Police responded to a disturbance at a home. After arrival, an officer was injured by James Bishop. Police did not clarify what kind of injuries. Another officer then shot and killed Bishop.",Yes,Unclear,undetermined,Not fleeing,No,Suburban
Broward,"Two officers responded to a domestic dispute call between two family members. A witness said they broke down his bedroom door, and when he threatened them with a baseball bat, they shot and killed him.",Yes,Unclear,attack,Not fleeing,,Urban
Wade Hampton,"Carl Tyson was shot and killed by Alaska State Trooper Sgt. Brent Hatch when he allegedly ""advanced"" on the trooper and a Village Police Officer, wielding a knife.",No,Allegedly Armed,,Not fleeing,,Rural
Orange,"Deputies were attempting to arrest Landon Christopher Wooten on two outstanding warrants for burglary and aggravated assault with a firearm. After a standoff, Wooten came out of the house with a cell phone and a B.B. gun, and he was shot and killed when he pulled the B.B. gun from his waistband.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Caddo,"Shreveport police responded to a home in to assist the Shreveport Fire Department, police said. Wallace allegedly had been inside the home ""tearing up the house, breaking windows and beating an individual."" He allegedly struck an officer and then was shot and killed by a city marshal.",No,Unclear,attack,Not fleeing,,Urban
Jefferson,Michael Gonzales was a suspect in an armed robbery at a Kohl's store. He was fatally shot by an officer as he fled in a car and allegedly attempted to hit the officer who was on foot.,No,Vehicle,attack,Car,No,Suburban
Prince George's,"Police said David Hall shot and killed 25-year-old Ralland Whitfield inside Seitz Liquors at about 1:15 p.m. Whitfield had just made a purchase at the store when Hall entered and shot him multiple times. As Hall fled the store, he was confronted by Cpl. Andrew McKenney, an officer with the robbery suppression team, who was in the area on an unrelated matter. McKenney ordered Hall, who was still armed, to stop, but Hall continued to run toward him. McKenney shot and killed Hall.",No,Allegedly Armed,other,Foot,No,Suburban
Deaf Smith,"Jonathan Mendoza was wanted by the Amarillo Police Department on several warrants, including aggravated assault with a deadly weapon. Police determined that he was at a residence in Hereford. When officers arrived, Mendoza left the house at the rear of the residence, while allegedly holding a gun. When he saw officers in the back, he ran around to the front of the residence and was confronted by other officers. When he saw the officers, he did pointed the gun at the officers and was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Sussex,Tramaine Marquese Poole was killed in a shootout with troopers after he refused to stop for them. Troopers said a bullet fired by Poole hit and killed a police dog in the back seat of a police car. Poole was being sought in connection with a murder.,No,Allegedly Armed,attack,Car,No,Rural
Alameda,"Officers tried to seduce Jacob Bauer, he refused to comply with requests to place his hands behind his back and fought officers, scratching and biting them. Officers struggled to place Bauer in handcuffs, at one point using what police referred to as an electronic control device, likely something similar to a Taser. Once Bauer was placed in handcuffs, he continued to struggle with officers, eventually requiring the use of a leg restraint device. He was killed during the arrest.",Unknown,Unarmed/Did Not Have an Actual Weapon,other,,,Suburban
Maricopa,"Glendale police including a police dog and human partner were working with a U.S. Marshals task force to apprehend a fugitive. Around 5:30 p.m., police said Skyler Martin ran from officers and jumped a wall, where he was confronted by the dog and officer. Martin fired, killing the dog, officials said.The officer fired back, killing Martin.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Pima,"Officers responded to a home in relation to reports of a man firing a rifle inside a home. When they arrived, a resident of the house said the suspect, David Judge, reportedly was armed and barricaded inside the home. Hostage negotiators reportedly spoke with Judge multiple times, but he refused to cooperate. Judge came out of the home at around 12:30 a.m. armed with two handguns. Det. David Ortiz shot and killed him.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Mississippi,"After a vehicle chase, James Edward Blackmon allegedly fired at troopers, who shot and killed him.",No,Allegedly Armed,attack,Foot,No,Rural
Arapahoe,Richard Black allegedly shot and killed an intruder to his home before being shot and killed by police who thought he might be the intruder.,No,Allegedly Armed,other,Not fleeing,No,Urban
Moore,"Deputies were called shortly before 3 a.m. after someone at the residence called 9-1-1 to report a domestic dispute. When deputies arrived, Arthur Garner allegedly began shooting at them. Deputies Sgt. Sean Ballard, Corporal Dustin Hussey, Stephanie Griffin and Justin Mack shot and killed him. Family said Garner did not shoot.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Denton,Police responded to a report of a fight about 11:15 a.m. Officers reportedly saw Jenkins go in the house with a gun when they arrived. Officers went in the house after hearing sounds of a struggle. An officer claims they shot and killed Jenkins because he refused to follow police commands.,No,Unclear,,,,Rural
Rapides,Michael Neal was shot and killed during a traffic stop and chase.,No,Unclear,undetermined,Car,No,Rural
Lehigh,"A South Whitehall Township police officer, responding to a report of a person interfering with traffic, encountered Santos around 5:45 p.m. Witnesses said he was jumping on moving vehicles and hanging onto the police car before the officer stopped. On the police scanner, the officer asked for backup for a possible ""mental issue."" In videos, Santos is seen walking away from the police car, then reversing course and walking toward the officer, who is heard demanding that he get on the ground. Santos, who did not appear to be armed, can be seen raising a hand, then lowering it before he was shot and killed.",Unknown,Unclear,undetermined,Not fleeing,No,Suburban
Adams,"Aurora police were tracking a vehicle by helicopter. The vehicle was found in Adams County. Aurora police responded to that location, and the driver drove his vehicle at Aurora police officers and hit several of them. He was shot and killed. He was allegedly a suspect in a shooting.",No,Vehicle,attack,Car,No,Suburban
Lucas,"Police said they responded to a vehicle stolen from East Toledo and identified Lamar Richardson as the driver. They lost the car after a pursuit, and later saw Richardson on a bicycle. They stopped him, but he allegedly fled on foot. Police said they shot and killed him when he showed a 9mm firearm.",No,Allegedly Armed,other,Foot,No,Urban
Los Angeles,"Video shows Mendoza pulling out a pistol and shooting a female officer in the leg. He then turns to shoot at her partner, Officer Miguel Alarcon, over the car. However, Officer Alarcon quickly fires striking Mendoza in the head and torso. Mendoza later died at a hospital.",No,Allegedly Armed,attack,Not fleeing,Yes,Urban
Chatham,"Around 9:30 p.m. Savannah Police responded to a shooting. While investigating, police said they encountered a man on Stratford Street who matched the description of a person who may have been involved in the shooting. Police approached 20-year old Chantz Cooper, and a Savannah Police Officer and Cooper fired shots at each other. A bullet from the exchange flew into the home of Cynthia Fields, killing her.",No,Unarmed/Did Not Have an Actual Weapon,other,,No,Urban
King,"A deputy was on patrol looking for parking violators in the five-story parking garage at Kent Station when he found a suspicious vehicle on the first floor around 8:40 a.m. The deputy was making contact with the car's two occupants when he was notified over his police radio that the car had been reported stolen. The deputy reportedly attempted to arrest the driver, who armed himself with an AR-15 rifle, and a fight began. The deputy shot and killed Jesus Murillo.",No,Allegedly Armed,other,Not fleeing,No,Urban
Walton,"William Earnest Brooks, was allegedly riding an ATV outside of a home on Social Circle Fairplay Road, prompting a 9-1-1 call that sent deputies to the home. The caller said the homeowner expected someone to be there to do some yard work but not to ride an ATV. Deputies tried to talk with Brooks, but he allegedly ran away, and police chased him. Police said Brooks overpowered the deputy, causing the deputy to draw his weapon and fire one round, missing Brooks. Brooks then took the weapon and fled deeper into the woods. A Georgia State Patrol helicopter spotted Brooks near a lake shoreline. Multiple Walton County deputies and one Social Circle police officer shot and killed Brooks.",No,Allegedly Armed,attack,Foot,No,Rural
Davidson,"Officers reportedly saw a vehicle driving erratically. They attempted to stop the vehicle, but it drove away. The officers found the vehicle about 7 p.m. Police said Daniel Hambrick got out of the car with a gun in his hand, and Officer Andrew Delke shot and killed him.",No,Allegedly Armed,other,Car,Yes,Urban
Washington,"Deputies from the county and Springdale police responded to a call about 11:16 p.m. of a domestic disturbance. Upon arrival, officers encountered an armed man. The officers ordered him to put down his weapon. Iman Buford allegedly began to advance towards them. Officer Trevor Bowen shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Lake,"Police said Kenneth Martell was shot and killed by Lakemoor police after he allegedly pulled two weapons on officers while he was wanted in connection with the murder of an elderly man. Martell allegedly went to the home of 88-year-old Theodore Garver to rob him, but killed him and then forced three people at gunpoint to help him get rid of the body in a pond, according to police.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Honolulu,Officers were serving a temporary restraining order to Gavalynn Mahuka. Police said he fired shots from a shotgun after barricading himself inside his home for close to eight hours. Officers shot and killed him.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Los Angeles,"Officers responded around 4:10 p.m. to a call of a person holding a gun but received an update that the suspect was chasing an unknown person and possibly had fired shots at that person, police said. Sergio Acosta was shot and killed upon their arrival. He had an Airsoft pellet gun.",No,Unarmed/Did Not Have an Actual Weapon,undetermined,Not fleeing,No,Urban
Potter,"About 8 p.m., officers were at the America's Best Value Inn looking for a man with a felony warrant for aggravated assault with a deadly weapon. Officers saw Rodriguez leave a room with a handgun in his hand. Rodriguez allegedly attempted to hide behind other people and refused to drop the gun and was shot and killed by police.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Shelby,"Around 9:30 p.m., two officers were reportedly on patrol when they pulled over a vehicle for an alleged traffic violation. The driver, D'Mario Perkins, threatened to harm himself when approached by the officers. Police said he fired his weapon, and the officers shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,Yes,Urban
Campbell,"Police received a call from a home around 2:30 p.m. from a man who claimed to have shot his wife. When police arrived, there was a brief standoff involving a deputy, an agent with the Eighth Judicial Drug Task Force and a Tennessee Highway Patrol trooper. Michael Heatherly allegedly pointed a gun at officers and was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Mohave,"about 2:51 a.m., police were dispatched to a 9-1-1 call where a male and a female could be heard screaming at each other. Upon arrival, three Lake Havasu police officers contacted Brent Carl Bowdon and shot and killed him.",Yes,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,Yes,Urban
Spokane,"A 9-1-1 caller reported that a badly injured woman had asked for help before getting into a van. Deputies located the van and attempted to make a traffic stop. Richard Bahr sped away. As he neared a dead end, he allegedly turned the vehicle and rammed the deputy's patrol car. After the deputy told him to stop, Bahr allegedly accelerated toward him. The deputy shot and killed Bahr.",No,Vehicle,attack,Car,No,Urban
