Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
46,Male,Black,23/01/2019,Spokane,Spokane Police Department,Gunshot
46,Male,White,23/01/2019,Porter,Porter County Sheriff's Office,Gunshot
20,Male,White,23/01/2019,Coconino,Arizona Department of Public Safety,Gunshot
Unknown,,Native American,23/01/2019,McKinley,Navajo Police Department,Gunshot
21,Male,Black,22/01/2019,Fulton,Atlanta Police Department,Gunshot
37,Male,Hispanic,21/01/2019,Clark,North Las Vegas Police Department,Gunshot
56,Male,Unknown race,21/01/2019,Benton,"Benton County Sheriff's Office, Washington State Patrol",Taser
26,Male,White,20/01/2019,Yellowstone,Billings Police Department,Gunshot
48,Male,Hispanic,20/01/2019,Benton,Richland Police Department,Beaten
42,Male,White,19/01/2019,Clackamas,Clackamas County Sheriff's Office,Gunshot
35,Male,White,19/01/2019,Hennepin,St. Louis Park Police Department,Gunshot
30,Male,White,19/01/2019,Knox,Knoxville Police Department,Gunshot
64,Male,White,18/01/2019,St. Charles,O'Fallon Police Department,Gunshot
31,Male,Black,16/01/2019,Montgomery,Montgomery County Police Department,Gunshot
32,Male,White,16/01/2019,Mecklenburg,Charlotte-Mecklenburg Police Department,Gunshot
41,Male,White,16/01/2019,Weld,La Salle Police Department,Gunshot
57,Male,White,16/01/2019,Tulsa,Tulsa County Sheriff's Office,Gunshot
46,Male,White,16/01/2019,Weld,Fort Lupton Police Department,Gunshot
30,Male,Black,16/01/2019,Crittenden,West Memphis Police Department,Gunshot
32,Female,White,16/01/2019,Crittenden,West Memphis Police Department,Gunshot
Unknown,,Unknown race,16/01/2019,Chickasaw,"Bremer County Sheriff’s Office, Chickasaw County Sheriff’s Office, Iowa State Patrol",Gunshot
22,Male,Black,15/01/2019,St. Louis City,St. Louis Metropolitan Police Department,Gunshot
42,Male,Black,15/01/2019,Arapahoe,Aurora Police Department,Gunshot
48,Male,White,15/01/2019,Placer,Placer County Sheriff's Office,Gunshot
14,Male,Hispanic,15/01/2019,Maricopa,Tempe Police Department,Gunshot
18,Male,Black,15/01/2019,Fulton,Atlanta Police Department,Gunshot
25,Male,Hispanic,14/01/2019,El Paso,El Paso Police Department,Gunshot
33,Male,White,14/01/2019,Ector,Ector County Sheriff's Office,Gunshot
38,Male,Black,14/01/2019,Solano,Vacaville Police Department,Gunshot
39,Male,Black,14/01/2019,Gloucester,Gloucester County Sheriff's Office,Gunshot
45,Male,Black,14/01/2019,Yuba,Yuba County Sheriff's Department,Gunshot
62,Male,Unknown race,14/01/2019,Hall,Gainesville Police Department,Gunshot
18,Male,Hispanic,14/01/2019,Pueblo,Pueblo County Sheriff's Office,Gunshot
23,Female,Hispanic,13/01/2019,Riverside,Cathedral City Police Department,Gunshot
28,Male,Hispanic,13/01/2019,Riverside,Cathedral City Police Department,Gunshot
43,Male,Unknown race,13/01/2019,Pierce,Lakewood Police Department,Gunshot
62,Male,Black,13/01/2019,Hinds,Jackson Police Department,Beaten
34,Male,White,13/01/2019,Aurora,U.S. Marshals Service,Gunshot
48,Male,White,2019-12-01 00:00:00,El Paso,Colorado Springs Police Department,Gunshot
43,Male,Hispanic,2019-12-01 00:00:00,Los Angeles,"Ventura County Sheriff's Office, California Highway Patrol",Gunshot
58,Male,White,2019-12-01 00:00:00,Ripley,"Indiana State Police, Dearborn County Sheriff's Office",Gunshot
19,Male,Black,2019-11-01 00:00:00,Maricopa,Phoenix Police Department,Gunshot
20,Male,Black,2019-11-01 00:00:00,Tarrant,Arlington Police Department,Gunshot
26,Male,Black,2019-11-01 00:00:00,Calcasieu,Lake Charles Police Department,Gunshot
30,Male,Hispanic,2019-11-01 00:00:00,Lane,Eugene Police Department,Gunshot
Unknown,Male,Unknown race,2019-11-01 00:00:00,Walker,Huntsville Police Department,Gunshot
26,Male,Unknown race,2019-10-01 00:00:00,Fremont,Riverton Police Department,Gunshot
29,Male,White,2019-10-01 00:00:00,Sedgwick,Wichita Police Department,Gunshot
71,Male,Black,2019-10-01 00:00:00,Elmore,Elmore County Sheriff's Office,Gunshot
33,Male,Unknown race,2019-08-01 00:00:00,Midland,Midland County Sheriff's Office,Gunshot
53,Male,Unknown race,2019-08-01 00:00:00,St. Francois,Missouri State Highway Patrol,Gunshot
26,Male,Black,2019-07-01 00:00:00,DeKalb,Clarkston Police Department,Gunshot
35,Male,Unknown race,2019-07-01 00:00:00,Oneida,Albany Police Department,Gunshot
35,Male,White,2019-07-01 00:00:00,Spokane,Spokane Police Department,Gunshot
37,Male,Hispanic,2019-07-01 00:00:00,King,Kent Police Department,Gunshot
42,Male,White,2019-07-01 00:00:00,Tulsa,U.S. Marshals Service,Gunshot
42,Male,Hispanic,2019-07-01 00:00:00,Pima,Pima County Sheriff's Department,Taser
32,Male,Asian,2019-06-01 00:00:00,Harris,Harris County Sheriff's Office,Gunshot
36,Male,Black,2019-06-01 00:00:00,Multnomah,Portland Police Bureau,Gunshot
42,Male,Black,2019-06-01 00:00:00,Putnam,"Hurricane Police Department, Putnam County Sheriff's Office",Gunshot
Unknown,Male,Unknown race,2019-06-01 00:00:00,Comanche,Cache Police Department,Gunshot
28,Male,Hispanic,2019-05-01 00:00:00,San Diego,San Diego County Sheriff's Department,Gunshot
29,Male,Hispanic,2019-05-01 00:00:00,Fresno,Fresno Police Department,Gunshot
50,Male,White,2019-05-01 00:00:00,Clackamas,Clackamas County Sheriff's Office,Gunshot
55,Male,White,2019-05-01 00:00:00,Santa Clara,Santa Clara Police Department,Gunshot
81,Male,Unknown race,2019-05-01 00:00:00,Union,Union County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,2019-05-01 00:00:00,Riverside,Riverside County Sheriff's Department,Gunshot
32,Male,Black,2019-04-01 00:00:00,Harris,Houston Police Department,Gunshot
33,Male,Black,2019-04-01 00:00:00,Orleans,New Orleans Police Department,Gunshot
27,Male,White,2019-04-01 00:00:00,Hays,San Marcos Police Department,Gunshot
39,Male,White,2019-04-01 00:00:00,Potter,Amarillo Police Department,Gunshot
25,Male,White,2019-03-01 00:00:00,Freeborn,Albert Lea Police Department,Gunshot
27,Male,Black,2019-03-01 00:00:00,Elmore,Millbrook Police Department,Gunshot
31,Male,White,2019-03-01 00:00:00,Gallatin,Bozeman Police Department,Gunshot
33,Male,Hispanic,2019-03-01 00:00:00,Tulare,Visalia Police Department,Gunshot
39,Male,Hispanic,2019-03-01 00:00:00,Bexar,San Antonio Police Department,Gunshot
63,Male,White,2019-03-01 00:00:00,Suffolk,"Suffolk County Police Department, Southold Police Department, New York State Police",Gunshot
20,Male,Black,2019-02-01 00:00:00,Shelby,Memphis Police Department,Gunshot
33,Male,White,2019-02-01 00:00:00,Bexar,San Antonio Police Department,Gunshot
35,Male,Black,2019-02-01 00:00:00,Trumbull,Niles Police Department,Gunshot
26,Male,White,2019-01-01 00:00:00,Stanly,Davidson County Sheriff's Office,Gunshot
28,Male,Black,2019-01-01 00:00:00,Brunswick,North Carolina State Highway Patrol,Gunshot
30,Male,Pacific Islander,31/12/2018,King,Seattle Police Department,Gunshot
45,Male,White,31/12/2018,Webster,Webster County Sheriff's Office,Gunshot
62,Male,Unknown race,31/12/2018,Lycoming,Pennsylvania State Police,Gunshot
Unknown,Male,Unknown race,31/12/2018,Los Angeles,Los Angeles Police Department,Gunshot
Unknown,Male,Unknown race,31/12/2018,DeKalb,Pine Lake Police Department,Gunshot
34,Male,Hispanic,31/12/2018,Boulder,Longmont Police Department,Gunshot
44,Male,Black,30/12/2018,Winnebago,Rockford Police Department,Gunshot
49,Male,White,30/12/2018,Llano,Texas Department of Public Safety,Gunshot
33,Male,Unknown race,29/12/2018,Klamath,Klamath County Sheriff's Office,Gunshot
42,Male,White,29/12/2018,Buchanan,St. Joseph Police Department,Gunshot
45,Male,White,29/12/2018,Fairfield,Danbury Police Department,"Gunshot, Taser"
Unknown,Male,Unknown race,29/12/2018,Itawamba,"Itawamba County Sheriff's Office, Mississippi Bureau of Investigation, Mississippi Highway Patrol",Gunshot
34,Male,White,28/12/2018,Coffee,Tullahoma Police Department,Gunshot
35,Male,Black,28/12/2018,Jefferson,Port Arthur Police Department,Gunshot
43,Male,White,28/12/2018,Santa Barbara,Santa Barbara Sheriff's Office,Gunshot
46,Male,White,28/12/2018,Maricopa,Phoenix Police Department,Gunshot
56,Male,White,28/12/2018,Montgomery,Indiana State Police,Gunshot
25,Male,White,27/12/2018,Norfolk,Cohasset Police Department,Taser
21,Male,White,26/12/2018,Clay,Rector Police Department,Gunshot
35,Male,Black,26/12/2018,Pinellas,Clearwater Police Department,Gunshot
17,Male,Black,26/12/2018,Polk,Lakeland Police Department,Gunshot
34,Male,Hispanic,25/12/2018,Maricopa,Buckeye Police Department,Gunshot
24,Female,Hispanic,25/12/2018,Santa Clara,San Jose Police Department,Gunshot
35,Male,Hispanic,24/12/2018,Bernalillo,Albuquerque Police Department,Gunshot
26,Male,Pacific Islander,23/12/2018,Maui,Maui Police Department,Gunshot
36,Male,Hispanic,23/12/2018,Bernalillo,Albuquerque Police Department,Gunshot
55,Male,Unknown race,21/12/2018,Lexington,Lexington County Sheriff's Office,Gunshot
57,Male,Hispanic,21/12/2018,Los Angeles,Azusa Police Department,Gunshot
23,Male,White,20/12/2018,Lucas,Toledo Police Department,Gunshot
56,Male,White,20/12/2018,Bay,Springfield Police Department,Gunshot
Unknown,Male,Unknown race,20/12/2018,Riverside,Riverside County Sheriff's Department,Gunshot
27,Male,White,19/12/2018,Crawford,Pennsylvania State Police,Gunshot
32,Male,Unknown race,19/12/2018,Tarrant,Fort Worth Police Department,Gunshot
6,Female,White,19/12/2018,Hillsborough,Hillsborough County Sheriff's Office,Gunshot
32,Female,White,19/12/2018,Hillsborough,Hillsborough County Sheriff's Office,Gunshot
54,Female,White,19/12/2018,Hillsborough,Hillsborough County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,19/12/2018,Maricopa,Phoenix Police Department,Gunshot
24,Male,White,18/12/2018,Vigo,West Terre Haute Police Department,Gunshot
27,Male,White,18/12/2018,Lebanon,Pennsylvania State Police,Gunshot
31,Female,Black,18/12/2018,Hopewell City,Hopewell Police Department,Gunshot
27,Male,Black,18/12/2018,Carbon,,Gunshot
34,Male,Hispanic,17/12/2018,Maricopa,Phoenix Police Department,Gunshot
42,Male,White,17/12/2018,Sacramento,Sacramento County Sheriff's Department,Gunshot
32,Male,Black,17/12/2018,Arapahoe,Aurora Police Department,Taser
35,Male,White,16/12/2018,Oklahoma,Oklahoma City Police Department,Gunshot
46,Male,Unknown race,16/12/2018,Wyandotte,"Kansas City, KS Police Department",Gunshot
47,Female,Black,16/12/2018,Darlington,Darlington County Sheriff's Office,Gunshot
50,Male,White,16/12/2018,Maricopa,Maricopa County Sheriff's Office,Gunshot
60,Male,White,16/12/2018,Wayne,Wayne County Sheriff's Office,Gunshot
35,Male,Hispanic,15/12/2018,Kings,Kings County Sheriff's Office,Gunshot
57,Male,Unknown race,15/12/2018,Suffolk,Suffolk County Police Department,Gunshot
54,Male,Unknown race,14/12/2018,Essex,Newark Police Department,Gunshot
66,Male,Unknown race,14/12/2018,Yakima,Yakima Police Department,Gunshot
33,Male,Unknown race,13/12/2018,DeKalb,DeKalb County Police Department,Gunshot
35,Male,Unknown race,13/12/2018,Yuba,Yuba County Sheriff's Department,Gunshot
70,Male,Unknown race,13/12/2018,Sumter,Sumter County Sheriff's Office,Gunshot
42,Male,Black,13/12/2018,Shelby,Memphis Police Department,Gunshot
Unknown,Male,Hispanic,13/12/2018,San Bernardino,Upland Police Department,Gunshot
19,Male,Hispanic,2018-12-12 00:00:00,Bernalillo,Albuquerque Police Department,Gunshot
43,Male,White,2018-12-12 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
18,Male,White,2018-12-12 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
29,Male,Black,2018-12-12 00:00:00,St. Louis,St. Louis Metropolitan Police Department,Gunshot
22,Male,White,2018-11-12 00:00:00,Conway,Pope County Sheriff's Office,Gunshot
25,Female,White,2018-11-12 00:00:00,Bibb,U.S. Marshals Service,Gunshot
27,Female,Black,2018-11-12 00:00:00,Gordon,Calhoun Police Department,Gunshot
30,Female,Asian,2018-11-12 00:00:00,Hawaii,Hawaii County Police Department,Gunshot
47,Male,Black,2018-11-12 00:00:00,Erie,Buffalo Police Department,Gunshot
56,Female,Unknown race,2018-11-12 00:00:00,Craighead,Jonesboro Police Department,Gunshot
23,Male,White,2018-10-12 00:00:00,Chautauqua,Fredonia Police Department,Gunshot
33,Male,White,2018-10-12 00:00:00,San Mateo,Redwood City Police Department,Gunshot
58,Male,White,2018-10-12 00:00:00,Rio Blanco,"Rangley Police Department, Rio Blanco County Sheriff's Office",Gunshot
23,Male,Black,2018-09-12 00:00:00,Los Angeles,Torrance Police Department,Gunshot
35,Male,Unknown race,2018-09-12 00:00:00,Tulare,Tulare Police Department,Gunshot
39,Male,White,2018-09-12 00:00:00,Noble,"Perry Police Department, Noble County Sheriff's Office",Gunshot
50,Male,Unknown race,2018-09-12 00:00:00,Richmond,New York Police Department,Gunshot
50,Male,White,2018-09-12 00:00:00,Washington,Washington County Sheriff's Office,Gunshot
51,Male,White,2018-09-12 00:00:00,Cook,Palatine Police Department,Gunshot
24,Male,Black,2018-08-12 00:00:00,Chatham,"Georgia State Patrol, Savannah Police Department",Gunshot
41,Male,White,2018-08-12 00:00:00,Elko,West Wendover Police Department,Gunshot
16,Male,Black,2018-07-12 00:00:00,Franklin,Columbus Division of Police,Gunshot
21,Male,Hispanic,2018-07-12 00:00:00,Cameron,San Benito Police Department,Gunshot
51,Male,Hispanic,2018-07-12 00:00:00,St. Lucie,Fort Pierce Police Department,Gunshot
42,Male,White,2018-06-12 00:00:00,Shasta,Redding Police Department,Gunshot
46,Male,White,2018-06-12 00:00:00,Nye,Nye County Sheriff's Office,Gunshot
53,Male,Black,2018-06-12 00:00:00,Henry,Henry County Police Department,Gunshot
Unknown,Male,Unknown race,2018-06-12 00:00:00,Cibola,Cibola County Sheriff's Office,Gunshot
23,Male,Black,2018-05-12 00:00:00,St. Louis City,St. Louis Metropolitan Police Department,Gunshot
26,Male,Hispanic,2018-05-12 00:00:00,Kern,Arvin Police Department,Gunshot
27,Male,Hispanic,2018-05-12 00:00:00,Napa,Napa Police Department,Gunshot
33,Male,Black,2018-05-12 00:00:00,Richmond City,Richmond Police Department,Gunshot
41,Male,White,2018-05-12 00:00:00,Philadelphia,Philadelphia Police Department,Gunshot
41,Male,White,2018-05-12 00:00:00,Contra Costa,Contra Costa Sheriff's Office,Gunshot
Unknown,Male,Unknown race,2018-05-12 00:00:00,Dallas,Dallas Police Department,Taser
18,Male,Hispanic,2018-04-12 00:00:00,Weber,Ogden Police Department,Gunshot
28,Male,Hispanic,2018-02-12 00:00:00,Shelby,Texas Department of Public Safety,Gunshot
Unknown,Male,Unknown race,2018-02-12 00:00:00,Dallas,Kaufman County Sheriff's Office,Gunshot
43,Male,Black,2018-01-12 00:00:00,Clark,Las Vegas Metropolitan Police Department,"Gunshot, Taser"
65,Male,Black,2018-01-12 00:00:00,Escambia,Escambia County Sheriff's Office,Gunshot
Unknown,Male,White,2018-01-12 00:00:00,Yalobusha,Yalobusha County Sheriff's Office,Gunshot
30,Male,Black,2018-01-12 00:00:00,Broward,Broward County Sheriff's Office,Gunshot
18,Male,Unknown race,30/11/2018,Pennington,Pennington County Sheriff's Office,Gunshot
37,Male,Hispanic,30/11/2018,Weber,Ogden Police Department,Gunshot
46,Male,Hispanic,29/11/2018,Maricopa,Phoenix Police Department,Gunshot
37,Male,White,29/11/2018,Penobscot,Old Town Police Department,Gunshot
Unknown,Female,Hispanic,29/11/2018,San Diego,U.S. Border Patrol,Vehicle
Unknown,Male,Hispanic,29/11/2018,San Diego,U.S. Border Patrol,Vehicle
Unknown,Male,Hispanic,29/11/2018,San Diego,U.S. Border Patrol,Vehicle
30,Male,Unknown race,28/11/2018,Harris,Houston Police Department,Gunshot
32,Male,Native American,28/11/2018,Harris,"Bemidji Police Department, Beltrami County Sheriff's Office",Gunshot
35,Male,White,28/11/2018,Jefferson,Louisville Metro Police Department,Gunshot
39,Male,Unknown race,28/11/2018,Jefferson,Lakewood Police Department,Gunshot
78,Male,Unknown race,28/11/2018,La Paz,"Colorado River Indian Tribes Police Department, La Paz County Sheriff's Office","Gunshot, Taser"
33,Male,Hispanic,28/11/2018,Clark,Clark County Sheriff's Office,Gunshot
19,Male,White,27/11/2018,Arapahoe,Douglas County Sheriff's Office,Gunshot
41,Male,White,27/11/2018,St. Louis,"Virginia Police Department, St. Louis County Sheriff's Office",Gunshot
42,Male,Pacific Islander,27/11/2018,Hawaii,Hawaii Police Department,Gunshot
35,Male,Black,27/11/2018,Shawnee,Kansas Highway Patrol,Gunshot
23,Female,Unknown race,26/11/2018,Knox,Knoxville Police Department,Gunshot
43,Male,White,26/11/2018,Union,New Albany Police Department,Taser
64,Male,White,25/11/2018,Davis,Syracuse Police Department,Gunshot
32,Male,Hispanic,24/11/2018,Salt Lake,South Salt Lake Police Department,Gunshot
46,Male,White,23/11/2018,Muhlenberg,Kentucky State Police,Gunshot
23,Male,Black,23/11/2018,Wayne,Wayne County Sheriff's Office,Gunshot
16,Male,Unknown race,22/11/2018,Cook,Chicago Police Department,Gunshot
20,Male,White,22/11/2018,Matanuska Susitna,Alaska State Troopers,Gunshot
21,Male,Black,22/11/2018,Jefferson,Hoover Police Department,Gunshot
59,Male,White,22/11/2018,Gunnison,Colorado State Patrol,Gunshot
22,Male,White,21/11/2018,Washington,Stillwater Police Department,Gunshot
24,Male,Hispanic,21/11/2018,Los Angeles,Bell Gardens Police Department,Gunshot
48,Male,Black,21/11/2018,Talladega,Talladega Police Department,Gunshot
52,Male,White,21/11/2018,Franklin,Columbus Division of Police,Gunshot
24,Female,White,21/11/2018,Talladega,Talladega Police Department,Gunshot
42,Male,White,21/11/2018,Clare,Clare County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,21/11/2018,Harris,Pasadena Police Department,Gunshot
71,Male,Unknown race,20/11/2018,Maricopa,U.S. Marshals Service,Gunshot
33,Male,Black,20/11/2018,Columbia,Columbia County Sheriff's Office,Gunshot
65,Male,White,19/11/2018,Marion,Indianapolis Metropolitan Police Department,Gunshot
41,Male,White,19/11/2018,Ada,Idaho State Police,Gunshot
49,Female,White,18/11/2018,Missoula,Missoula Police Department,Gunshot
27,Male,Black,17/11/2018,St. Lucie,St. Lucie County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,16/11/2018,Harris,Texas Department of Public Safety,Gunshot
18,Male,Black,15/11/2018,Arapahoe,Arapahoe County Sheriff's Office,Gunshot
25,Male,Black,15/11/2018,Richmond,Richmond County Sheriff's Office,Gunshot
60,Male,White,15/11/2018,Marengo,Demopolis Police Department,Gunshot
29,Male,Hispanic,15/11/2018,Alameda,Hayward Police Department,Gunshot
48,Male,White,15/11/2018,Butte,"Shasta County Sheriff's Office, Butte County Sheriff's Office, California Department of Fish and Wildlife",Gunshot
22,Male,Black,14/11/2018,Wythe,Wythe County Sheriff's Office,Gunshot
29,Male,White,14/11/2018,Spartanburg,Spartanburg Police Department,Gunshot
55,Male,Unknown race,14/11/2018,Lowndes,"Haynesville Police Department, Lowndes County Sheriff's Office",Gunshot
59,Male,White,14/11/2018,Worcester,Auburn Police Department,Gunshot
Unknown,Male,Hispanic,14/11/2018,Harris,Houston Police Department,Gunshot
38,Male,Hispanic,13/11/2018,,,Gunshot
24,Male,Black,13/11/2018,Maricopa,Phoenix Police Department,Gunshot
25,Male,Hispanic,2018-12-11 00:00:00,Hamilton,Chattanooga Police Department,Gunshot
30,Male,Hispanic,2018-12-11 00:00:00,San Diego,San Diego County Sheriff's Department,Gunshot
36,Male,Asian,2018-12-11 00:00:00,Muskogee,Muskogee Police Department,Gunshot
39,Male,White,2018-12-11 00:00:00,Ocean,"Mantoloking Police Department, Ocean County Sheriff's Office, Bay Head Police Department",Gunshot
47,Male,Black,2018-12-11 00:00:00,Oklahoma,Oklahoma City Police Department,Gunshot
63,Male,White,2018-12-11 00:00:00,Fresno,Fresno Police Department,"Gunshot, Taser"
26,Male,Black,2018-11-11 00:00:00,Cook,Midlothian Police Department,Gunshot
Unknown,Male,Hispanic,2018-11-11 00:00:00,Riverside,Hemet Police Department,Gunshot
52,Male,White,2018-11-11 00:00:00,Wagoner,Wagoner Police Department,Gunshot
39,Male,Black,2018-10-11 00:00:00,Coahoma,Clarksdale Police Department,Gunshot
61,Male,White,2018-09-11 00:00:00,Scott,Shakopee Police Department,Gunshot
30,Male,White,2018-09-11 00:00:00,Salt Lake,Salt Lake City Police Department,Gunshot
33,Male,White,2018-09-11 00:00:00,Weber,Ogden Police Department,Gunshot
36,Male,Black,2018-09-11 00:00:00,Hennepin,Minneapolis Police Department,Gunshot
34,Male,Hispanic,2018-08-11 00:00:00,Inyo,"U.S. Marshals Service, Los Angeles County Sheriff's Department",Gunshot
Unknown,Male,Unknown race,2018-07-11 00:00:00,Bexar,San Antonio Park Police Department,"Gunshot, Taser"
Unknown,Male,Unknown race,2018-06-11 00:00:00,Riverside,Corona Police Department,Gunshot
Unknown,Male,Unknown race,2018-06-11 00:00:00,Osceola,Osceola County Sheriff's Office,Gunshot
37,Male,White,2018-05-11 00:00:00,Cocke,Cocke County Sheriff's Office,Gunshot
48,Male,Asian,2018-05-11 00:00:00,Spartanburg,Spartanburg County Sheriff's Office,Gunshot
61,Male,White,2018-05-11 00:00:00,Anne Arundel,Anne Arundel County Police Department,Gunshot
72,Male,White,2018-05-11 00:00:00,Charlotte,Charlotte County Sheriff's Office,Gunshot
18,Male,Hispanic,2018-04-11 00:00:00,Bernalillo,Albuquerque Police Department,Gunshot
29,Male,Black,2018-04-11 00:00:00,Macomb,St. Clair Shores Police Department,Gunshot
39,Male,Hispanic,2018-04-11 00:00:00,Albany,Albany County Sheriff's Office,Gunshot
19,Male,White,2018-04-11 00:00:00,Jefferson,"Colorado State Patrol, Jefferson County Sheriff's Office",Gunshot
65,Male,Unknown race,2018-03-11 00:00:00,Coos,"Oregon State Police, Coos County Sheriff's Office, Coquille Police Department, North Bend Police Department",Gunshot
25,Male,Asian,2018-03-11 00:00:00,Macomb,Shelby Township Police Department,Gunshot
33,Male,Black,2018-03-11 00:00:00,Contra Costa,Contra Costa Sheriff's Office,Gunshot
25,Male,White,2018-02-11 00:00:00,Kanawha,Charleston Police Department,Gunshot
35,Male,Black,2018-02-11 00:00:00,Bonneville,Idaho State Police,Gunshot
24,Male,Black,2018-01-11 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
32,Male,White,31/10/2018,Volusia,Volusia County Sheriff's Office,Gunshot
17,Male,Hispanic,31/10/2018,Harris,Harris County Sheriff's Office,Gunshot
26,Male,Hispanic,31/10/2018,Clark,North Las Vegas Police Department,Gunshot
27,Male,Hispanic,29/10/2018,Maricopa,"Mesa Police Department, Arizona Department of Public Safety",Gunshot
30,Male,Black,29/10/2018,Los Angeles,Los Angeles Police Department,Gunshot
34,Male,White,29/10/2018,El Dorado,"El Dorado County Sheriff's Office, South Lake Tahoe Police Department",Gunshot
Unknown,Male,Unknown race,29/10/2018,Maricopa,Tempe Police Department,Gunshot
42,Female,White,29/10/2018,Lamar,Monroe County Sheriff's Office,Gunshot
28,Male,Black,29/10/2018,Baltimore,Baltimore County Police Department,Gunshot
30,Male,Black,27/10/2018,Harris,Houston Police Department,Gunshot
44,Male,Native American,27/10/2018,Clark,Las Vegas Metropolitan Police Department,Gunshot
28,Male,Black,25/10/2018,St. Louis,St. Louis County Police Department,Gunshot
45,Male,Unknown race,24/10/2018,Wayne,Detroit Police Department,Gunshot
28,Male,White,24/10/2018,Minnehaha,Sioux Falls Police Department,Taser
37,Male,White,23/10/2018,Tulsa,Tulsa Police Department,Gunshot
24,Male,White,23/10/2018,Snohomish,Snohomish County Sheriff's Office,Gunshot
27,Male,White,23/10/2018,Scott,Scott County Sheriff's Office,Gunshot
18,Male,Black,22/10/2018,Gwinnett,Gwinnett County Police Department,"Gunshot, Taser"
26,Male,White,22/10/2018,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot
37,Male,Hispanic,22/10/2018,Contra Costa,Pittsburg Police Department,Gunshot
61,Male,White,22/10/2018,Cocke,"Newport Police Department, Cocke County Sheriff's Office",Gunshot
27,Male,Black,21/10/2018,Beaufort,Washington Police Department,Gunshot
Unknown,Male,Unknown race,21/10/2018,,,Gunshot
34,Female,White,20/10/2018,Chesterfield,Darlington County Sheriff's Office,Gunshot
35,Male,White,20/10/2018,Lamar,Paris Police Department,Gunshot
50,Male,White,20/10/2018,Pierce,Pierce County Sheriff's Office,Gunshot
25,Male,White,19/10/2018,Plymouth,Brockton Police Department,Gunshot
26,Male,Native American,19/10/2018,Brown,Green Bay Police Department,Gunshot
21,Male,Black,19/10/2018,Miami-Dade,Miami Gardens Police Department,Gunshot
63,Male,Black,18/10/2018,Walton,Monroe Police Department,Gunshot
18,Male,White,18/10/2018,Jefferson,Arvada Police Department,Gunshot
19,Male,Black,18/10/2018,Cumberland,Cape May County Prosecutor's Office,Gunshot
23,Male,White,18/10/2018,Salt Lake,"Salt Lake City Police Department, Saratoga Springs Police Department, Unified Police Department of Greater Salt Lake",Gunshot
27,Male,Unknown race,18/10/2018,Bartow,Georgia State Patrol,Gunshot
38,Male,White,18/10/2018,Walworth,Walworth County Sheriff's Office,Gunshot
19,Male,Black,17/10/2018,Shelby,Shelby County Sheriff's Office,Gunshot
29,Male,White,17/10/2018,Cowlitz,"Longview Police Department, Cowlitz County Sheriff's Office",Gunshot
61,Male,White,17/10/2018,Salt Lake,Unified Police Department of Greater Salt Lake,"Gunshot, Taser"
Unknown,Male,Unknown race,17/10/2018,,,Gunshot
18,Male,Black,17/10/2018,Bexar,San Antonio Police Department,Gunshot
45,Male,Unknown race,16/10/2018,Pierce,Puyallup Tribal Police Department,Gunshot
58,Male,Hispanic,15/10/2018,Franklin,Franklin County Sheriff's Office,Gunshot
17,Male,Hispanic,14/10/2018,Tulare,Tulare County Sheriff's Office,Gunshot
22,Male,Black,14/10/2018,Fayette,Fayette County Sheriff's Office,Gunshot
41,Male,White,14/10/2018,Hall,Hall County Sheriff's Office,Gunshot
55,Male,Unknown race,14/10/2018,Otero,New Mexico State Police,Gunshot
Unknown,Male,Unknown race,14/10/2018,Bay,Florida State Fire Marshals,Gunshot
27,Male,Black,13/10/2018,Sebastian,Fort Smith Police Department,Gunshot
17,Male,White,2018-12-10 00:00:00,,,"Gunshot, Taser"
34,Male,Unknown race,2018-12-10 00:00:00,Cobb,Cobb County Police Department,Gunshot
43,Male,Native American,2018-12-10 00:00:00,Apache,U.S. National Park Service,Gunshot
84,Male,White,2018-12-10 00:00:00,Maricopa,Chandler Police Department,Gunshot
26,Female,Pacific Islander,2018-12-10 00:00:00,Hawaii,Hawaii Police Department,Gunshot
22,Male,Black,2018-11-10 00:00:00,Salt Lake,West Jordan Police Department,Gunshot
Unknown,Male,Unknown race,2018-11-10 00:00:00,Orange,Huntington Beach Police Department,Gunshot
15,Male,Unknown race,2018-10-10 00:00:00,Collin,Wylie Police Department,Vehicle
21,Male,White,2018-10-10 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
26,Male,Unknown race,2018-10-10 00:00:00,Ventura,Ventura County Sheriff's Office,Gunshot
30,Male,White,2018-10-10 00:00:00,Multnomah,Portland Police Bureau,Gunshot
31,Male,Black,2018-10-10 00:00:00,Milwaukee,Milwaukee Police Department,Gunshot
47,Male,Black,2018-10-10 00:00:00,Monroe,Rochester Police Department,Gunshot
49,Female,White,2018-10-10 00:00:00,Sullivan,Indiana State Police,Gunshot
76,Male,White,2018-10-10 00:00:00,El Paso,El Paso Police Department,Gunshot
